SG, 22, BRK, 10, 8, 322, 97, 209, .464, 23, 67, .343, 74, 142, .521, .519, 44, 52, .846, 2, 37, 39, 23, 7, 6, 13, 19, 261, 
SF, 21, HOU, 4, 0, 67, 9, 22, .409, 2, 11, .182, 7, 11, .636, .455, 5, 8, .625, 1, 10, 11, 6, 2, 1, 6, 9, 25, 
SF, 21, DET, 20, 18, 565, 89, 193, .461, 5, 37, .135, 84, 156, .538, .474, 30, 43, .698, 63, 119, 182, 53, 20, 29, 43, 75, 213, 
SF, 33, GSW, 19, 19, 567, 103, 254, .406, 53, 147, .361, 50, 107, .467, .510, 40, 46, .870, 12, 61, 73, 43, 8, 11, 38, 44, 299, 
PF, 32, CLE, 15, 0, 132, 15, 22, .682, 0, 0, , 15, 22, .682, .682, 5, 13, .385, 17, 20, 37, 11, 2, 5, 7, 13, 35, 
PF, 21, CHO, 17, 1, 280, 26, 62, .419, 12, 33, .364, 14, 29, .483, .516, 0, 4, .000, 14, 35, 49, 10, 4, 5, 4, 21, 64, 
SF, 26, POR, 19, 9, 431, 42, 89, .472, 27, 70, .386, 15, 19, .789, .624, 6, 8, .750, 6, 25, 31, 22, 27, 15, 14, 22, 117, 
C, 25, MEM, 9, 5, 215, 30, 74, .405, 7, 25, .280, 23, 49, .469, .453, 4, 9, .444, 14, 35, 49, 19, 13, 9, 11, 20, 71, 
PF, 25, IND, 18, 17, 448, 94, 154, .610, 22, 61, .361, 72, 93, .774, .682, 26, 32, .813, 16, 39, 55, 24, 13, 10, 15, 36, 236, 
PF, 28, MIN, 19, 19, 636, 154, 306, .503, 41, 98, .418, 113, 208, .543, .570, 72, 79, .911, 21, 150, 171, 59, 18, 14, 56, 65, 421, 
SG, 25, TOR, 17, 2, 438, 69, 173, .399, 32, 88, .364, 37, 85, .435, .491, 17, 30, .567, 4, 30, 34, 22, 14, 2, 11, 18, 187, 
PF, 38, TOT, 15, 3, 239, 6, 19, .316, 5, 16, .313, 1, 3, .333, .447, 3, 3, 1.000, 16, 27, 43, 8, 9, 3, 4, 35, 20, 
PF, 38, PHI, 3, 3, 66, 2, 5, .400, 2, 5, .400, 0, 0, , .600, 0, 0, , 1, 13, 14, 0, 3, 2, 2, 9, 6, 
PF, 38, LAC, 12, 0, 173, 4, 14, .286, 3, 11, .273, 1, 3, .333, .393, 3, 3, 1.000, 15, 14, 29, 8, 6, 1, 2, 26, 14, 
C, 27, IND, 18, 18, 483, 109, 213, .512, 25, 76, .329, 84, 137, .613, .570, 56, 72, .778, 33, 107, 140, 25, 11, 38, 27, 63, 299, 
PF, 23, DEN, 7, 0, 18, 1, 4, .250, 0, 3, .000, 1, 1, 1.000, .250, 0, 0, , 0, 4, 4, 1, 0, 0, 0, 5, 2, 
SG, 24, DET, 15, 0, 155, 20, 44, .455, 14, 27, .519, 6, 17, .353, .614, 21, 23, .913, 3, 25, 28, 8, 4, 5, 10, 24, 75, 
C, 31, NOP, 21, 21, 561, 115, 204, .564, 15, 40, .375, 100, 164, .610, .600, 49, 61, .803, 49, 140, 189, 50, 8, 27, 25, 65, 294, 
PF, 24, LAL, 1, 0, 14, 0, 2, .000, 0, 2, .000, 0, 0, , .000, 0, 0, , 1, 3, 4, 1, 0, 0, 0, 1, 0, 
PG, 29, HOU, 16, 16, 604, 89, 227, .392, 49, 130, .377, 40, 97, .412, .500, 37, 41, .902, 5, 62, 67, 145, 11, 7, 25, 29, 264, 
SG, 23, SAS, 14, 8, 394, 92, 186, .495, 38, 93, .409, 54, 93, .581, .597, 34, 43, .791, 6, 39, 45, 38, 14, 1, 21, 16, 256, 
PF, 28, SAC, 15, 0, 218, 35, 80, .438, 20, 53, .377, 15, 27, .556, .563, 4, 6, .667, 5, 30, 35, 4, 6, 5, 5, 18, 94, 
PG, 27, LAL, 4, 0, 113, 11, 28, .393, 1, 14, .071, 10, 14, .714, .411, 1, 2, .500, 2, 2, 4, 12, 6, 0, 2, 10, 24, 
C, 33, CHI, 21, 21, 720, 140, 309, .453, 18, 74, .243, 122, 235, .519, .482, 30, 36, .833, 52, 157, 209, 68, 19, 14, 38, 61, 328, 
PF, 27, CLE, 13, 7, 264, 13, 40, .325, 12, 38, .316, 1, 2, .500, .475, 2, 4, .500, 12, 41, 53, 11, 11, 3, 5, 29, 40, 
SF, 22, ORL, 20, 20, 657, 153, 328, .466, 33, 101, .327, 120, 227, .529, .517, 75, 89, .843, 24, 91, 115, 70, 21, 8, 35, 43, 414, 
C, 26, ORL, 20, 0, 389, 100, 158, .633, 13, 35, .371, 87, 123, .707, .674, 47, 57, .825, 31, 55, 86, 24, 9, 9, 28, 49, 260, 
SF, 29, POR, 2, 0, 5, 0, 1, .000, 0, 1, .000, 0, 0, , .000, 0, 0, , 0, 0, 0, 0, 1, 0, 0, 1, 0, 
SF, 21, POR, 19, 0, 330, 51, 114, .447, 10, 38, .263, 41, 76, .539, .491, 21, 29, .724, 28, 64, 92, 12, 15, 8, 18, 42, 133, 
